reheat_hours,profit,time_dual_value
10,0.0,0.0
11,0.0,0.0
12,66250.0,6000.0
13,72250.0,6000.0
14,78250.0,6000.0
15,84250.0,6000.0
16,90250.0,6000.0
17,96250.0,6000.0
18,102250.0,6000.0
19,108250.0,6000.0
20,114250.0,6000.0
21,120250.0,6000.0
22,126250.0,6000.0
23,132250.0,6000.0
24,138250.0,6000.0
25,144250.0,6000.0
26,150250.0,6000.0
27,156250.0,6000.0
28,162250.0,6000.0
29,168200.0,5800.0
30,174000.0,5800.0
31,178600.0,4400.0
32,182458.33,2666.67
33,185125.0,2666.67
34,187791.67,2666.67
35,190071.43,1800.0
36,191871.43,1800.0
37,193671.43,1800.0
38,194828.57,0.0
39,194828.57,0.0
40,194828.57,0.0
